text_a	label
想 问 一 下 大 夫 ， 肺 栓 塞 抗 凝 六 个 月 啦 ！	O O B E B E O B I E B E O O B E O
想 复 查 一 下 ， 大 夫 建 议 做 生 化 七 项 ， 请 问 ， 生 化 七 项 具 体 指 的 是 那 七 项 大 夫 你 好 ，	O B E B E O B E B E O B E B E O B E O B E B E B E O O O O B E B E B E O
我 是 产 后 2 2 天 得 肺 栓 塞 ， 现 在 服 用 华 法 林 纳 六 个 月 ， 需 要 复 查 ， 大 夫 让 我 查 生 化 七 项 ， 我 想 问 问 生 化 七 项 指 的 是 那 七 项	O O B E B E O O B I E O B E B E B I I E B I E O B E B E O B E O O O B E B E O O O B E B E B E O O O O B E
以 往 病 史 ： 冠 心 病 ， 烟 雾 病 ， 颈 椎 病	B E B E B I I E O B I E O B I E
没 有 家 族 史	B E B E O
现 在 轧 针 ， 吃 中 药 ， 病 情 有 所 好 转	B E B E O O B E O B E B E B E
2 0 1 4 年 出 现 双 手 抖 动 ， 丧 失 方 向 感 ， 四 肢 浮 肿 无 力 ， 不 认 人 ， 昏 迷 。	B I I E O B E B E B E O B E B E O O B E B E B E O O O O O B E O
经 查 后 发 现 低 血 钾 症 ， 之 后 长 期 补 充 氯 化 钾 。	O O O B E B I E O O B E B E B E B I E O
今 年 9 月 1 8 日 出 现 拿 打 火 机 开 车 门 的 情 况 （ 把 打 火 机 当 车 钥 匙 ） ，	B E O O B E O B E O B I E O B E O B I I E B I E O B I I E O
出 现 语 言 表 达 障 碍 ， 9 月 2 0 日 中 午 开 始 基 本 丧 失 语 言 表 达 能 力 ， 丢 失 方 向 感 ， 双 手 不 听 使 唤 ， 嗜 睡 。	B E B E B E B E O O O B E O B E B E B E B E B E B E B E O B E B E O O B E B E B E O B E O
9 月 2 0 日 晚 到 潍 坊 人 民 医 院 急 诊 检 查 ，	O O B E O O O B E B E B E B E B E O
9 月 2 1 日 在 神 经 内 科 住 院 并 检 查 ， 排 除 脑 梗 可 能 ， 当 天 中 午 基 本 恢 复 。	O O B E O O B I I E B E O B E O B E B E B E O B E B E B E B E O
之 后 考 虑 呼 吸 暂 停 ， 肺 功 能 障 碍 ， 导 致 缺 氧 ，	B E B E B E B E O O B E B E O B E B E O
做 肺 部 C T A 后 ， 考 虑 肺 栓 塞 ， 打 低 分 子 肝 素 和 消 炎 针 ， 9 月 2 8 日 出 院 。	O B E B I E O O B E B I E O O B I E B E O B E O O O O B E O B E O
4 号 上 午 再 次 出 现 阵 发 性 神 志 不 清 症 状 ，	O O B E B E B E B I E B E B E B E O
当 天 睡 一 会 觉 后 有 所 好 转 ， 过 半 小 时 后 症 状 加 重 。	B E O B I E O B I I E O O B I E O B E B E O
5 号 上 午 在 县 医 院 住 院 。	O O B E O O B E B E O
目 前 病 危 ， 气 管 已 堵 塞 ， 已 插 管 在 川 北 附 属 医 院 重 症 监 护 室 。	B E B E O B E O B E O O B E O B E B E B E B E B E O O
肺 栓 塞 ， 产 生 血 栓 的 原 因	B I E O B E B E O B E
切 管 后 医 生 告 知 肺 部 感 染 有 所 加 重 （ 切 管 一 周 ） 现 离 不 开 呼 吸 机 ， 人 的 意 识 清 楚	B E O B E B E B E B E B I I I I I E B I I E B I E B E O O O O B E B E
2 0 1 4 年 1 2 月 入 住 山 大 一 院 呼 吸 科 复 查 肺 栓 塞 ， 查 到 多 发 性 大 动 脉 炎 ， 决 定 给 予 干 预 。	B I I E O B E O B E B E B E B E O B E B I E O B E B I E B I E O O B E B E B E O
开 始 吃 强 的 松 ， 输 注 环 磷 酰 胺 。	B E O B I E O B E B I I E O
2 月 1 2 日 的 血 沉 5 m m / h ，	O O B E O O B E O B I I E O
c 反 应 蛋 白 2 . 0 4 m g / L 。	O B E B E B I I E B I I E O
近 两 个 多 月 来 ， 常 有 心 跳 快 ， 说 话 气 紧 ， 嘴 唇 和 舌 头 发 凉 的 感 觉 。	O B E O O O O O O B E O O B E O O O B E O B E O B E B E O
今 年 2 月 2 5 日 的 心 脏 彩 超 显 示 肺 动 脉 高 压 4 1 m m / H g ，	B E O O B E O O B E B E B E B I E B E B E B I I I E O
射 血 分 数 6 3 % 。	B E B E B I E O
因 为 感 冒 觉 得 憋 气 胸 闷 没 有 其 他 症 状 ， 一 动 就 喘 不 动 还 好	B E B E B E B E B E B E B E B E O O O O O B E O O
爆 发 性 心 肌 炎 ， 肺 炎 前 天 从 儿 童 医 院 出 院 ， 今 天 又 咳 了	B E O B E O O O O B E O B E B E B E O B E O B E
这 次 在 医 院 进 行 胃 息 肉 切 除 术 ， 顺 便 体 检 做 了 增 强 C T ， 被 诊 断 出 肺 动 脉 栓 塞 这 个 病	B E O B E B E B E O B E O O B E B E O O B E B E O O B E O B I E B E B E O
病 人 在 刨 宫 产 后 大 出 血 ， 做 了 介 入 手 术 后 2 8 小 时 后 ， 病 人 呼 吸 不 太 顺 畅 ， 医 生 给 做 检 查 ， 确 定 为 肺 栓 塞	B E O B I E O O B E O O O B E B E O B E B E O O B E B E O O B E O B E O O B E O B E O B I E
肺 栓 塞 ， 咳 血 ， 肺 血 管 堵 塞 百 分 之 八 十 ， 头 晕	B I E O O O O B I E B E B I E B E O B E
女 , 4 9 岁 。	O O B E O O
做 了 手 术 2 4 了 ， 感 觉 基 本 良 好 ， 现 在 想 取 滤 器 ， 可 以 吗	O O B E B E O O B E B E B E O B E O O B E O B E O
我 想 问 下 这 个 症 状 严 不 严 重 ， 感 觉 最 近 这 人 浑 身 无 力 。	O O B E B E B E O O B E O B E B E O O B E B E O
人 体 重 下 降 ， 这 个 月 打 算 做 试 管 的 ， 想 问 下 吃 中 药 会 不 会 对 精 子 有 影 响 呢 ？	O B E B E O B E O B E O B E O O O B E O B E O B E O B E O B E O O
打 呼 噜 好 多 年 了 ， 1 0 多 年 了 ， 现 在 睡 觉 呼 吸 不 畅	O B E B E O O O B E O O O O B E B E B E B E
发 病 的 时 候 就 是 呼 吸 困 难 ， 咳 嗽 ， 有 痰	B E O B E O O B E B E O B E O B E
最 近 2 ， 3 年 做 胃 部 手 术 得 的 这 病	B E O O O O O B E B E O O B E
遗 传 性 的 心 脏 病 ， 就 是 心 跳 加 速 呼 吸 不 了 ，	B E O O B E O O O O B E B E B E O O O
女 , 4 9 岁 。	O O B E O O
我 是 3 月 2 8 在 西 京 医 院 做 了 腔 静 脉 滤 器 手 术 ， 到 现 在 是 二 十 好 几 天 了 ， 医 生 的 意 见 是 不 建 议 取 滤 器 ，	O O O O B E O B E B E B E B I E B E B E O O B E O B E O B E O O B E O B E O O B E O B E O
怕 有 新 的 血 栓 形 成 ， 可 我 的 年 龄 是 4 9 岁 ， 不 取 的 话 会 对 我 以 后 生 活 影 响 很 大 ， 我 是 该 取 还 是 不 该 取 。	O O O O B E B E O O O O B E O B E O O B E O O O O O B E B E B E B E O O O B E B E O B E O
结 核 性 脑 膜 炎 ， 腹 腔 结 核 性 腹 膜 炎 ， 肠 结 核 ， 腹 腔 淋 巴 结 肿 大 ， 腹 腔 继 发 性 感 染 ， 亚 急 性 血 行 播 散 型 肺 结 核 ， 我 们 这 边 医 院 拒 收 ，	B E O B E O O B E B E O B E O O B I E O B E B I E B E O B E B E O B E O B I E B E B E O B I E O B E B E B E B E O
目 前 在 家 吃 中 药 调 理 ， 没 任 何 效 果	B E O O O B E B E O O B E B E
这 个 病 主 要 是 什 么 原 因 造 成 的 ， 主 要 用 那 种 药 效 果 好	O O O B E O B E B E B E O O B E O B E O B E O
疲 劳 过 度 和 饮 酒 发 病 ， 心 率 过 快 1 8 0 左 右 不 齐 。	B E B E O B E B E O B E B E B I E B E B E O
母 亲 和 外 婆 心 脏 病 过 世 ， 不 知 内 型 心 脏 病 。	B E O B E B I E B E O B E B E B I E O
2 0 1 5 年 5 月 1 0 号 ， 呼 吸 困 难 ， 送 往 石 家 庄 省 二 院 治 疗 ， 经 确 诊 ， 肺 栓 塞 ， 患 者 为 孕 妇 ， 抗 凝 溶 栓 治 疗 3 周 出 院 ，	B I I E O O O B E O O B E B E O B E B I E O B E B E O O B E O B I E O B E O B E O B I I E B E O O B E O
停 用 华 法 林 一 周 后 做 引 产 手 术	B E B I E B E O O B I I E
女 , 2 2 岁 。	O O B E O O
你 好 ！	B E O
我 去 医 院 看 了 说 怀 疑 肺 栓 塞 ！	O O B E O O O B E B I E O
血 浆 D 二 聚 体 测 定 检 验 结 果 是 2 . 3 7 ！	B E O B I E B E B E B E O B I I E O
让 我 住 院 做 肺 部 照 影 ！	O O B E O B E B E O
做 了 c t 说 是 空 洞 型 肺 结 核 我 想 问 问 c t 可 以 确 诊 是 肺 结 核 吗 要 做 痰 检 可 是 没 有 痰 怎 么 办 呢	O O B E O O B E O B I E O O B E B E B E B E O B I E O O O B E B E B E O B I E O
空 洞 一 年 ， 吃 药 无 好 转 ， 肺 曲 菌 形 成	B E B E O B E O B E O B I E B E
胃 溃 疡 吹 气 结 果 为 阳 性 ， 之 前 一 直 胃 痛 ， 基 本 上 都 是 晚 上 发 作 ， 然 后 早 上 就 好 了 ， 吃 药 都 没 有 什 么 用 。	B E O O O B E O B E O B E B E B E O B I E O O B E B E O B E B E O B E O B E O B E B E O O
化 验 单	B E O
吃 东 西 胃 里 火 辣 辣 的 疼 ， 咽 喉 也 疼 ， 东 西 吃 了 也 不 消 化 ， 肚 子 硬 硬 的	O B E B E B I E O O O B E O O O B E O O O O B E O B E O O O
腿 部 静 脉 血 栓 现 栓 至 肺 部 急 需 转 诊 到 贵 院 就 诊	B E B E B E O O O B E B E B E O B E B E
肥 胖 原 因 的 诱 发	B E B E O B E
舌 后 缀 手 术 费 大 约 多 少 钱	O B E B I E B E B E O
症 状 ： 心 口 窝 涨 疼 ， 伴 后 背 隐 痛 ， 口 苦 ， 睡 眠 质 量 差 ， 嗳 气 ， 胃 酸 较 高 ， 反 酸 ；	B I I I I E B E O O B E B E O B E O B E B E O O B E O B E O O O B E O
肠 鸣 ， 小 腹 丹 田 处 隐 痛 ， 大 便 正 常 不 成 型 。	B E O B E B E O B E O B E B E O B E O
其 他 说 明 ： 患 甲 亢 多 年 ， 现 平 稳 ， 颈 椎 病 严 重 ， 不 吸 烟 不 喝 酒 ， 饮 食 比 较 注 意 。	B E B I I E B E O O O O B E O B E O B E O O B E O B E O B E B E B E O
我 闺 女 这 么 小 ， 还 没 学 会 叫 爸 爸 妈 妈 ， 我 也 不 知 道 怎 么 得 了 这 个 病 。	O B E B E O O O O B E O B E B E O O O B I E B E B E B E O O
家 族 里 也 没 有 ， 请 医 生 帮 帮 我 ， 我 孩 子 目 前 没 有 什 么 症 状 ，	B E O O B E O O B E B E O O O B E B E B E B E B E O
但 住 院 医 生 说 有 猝 死 可 能 ， 我 想 做 手 术 彻 底 治 愈 ， 求 医 生 帮 帮 我 ！	O B E B E O O B E B E O O O O B E B E B E O O B E B E O O
万 分 感 谢 ！	B E B E O
！	O
！	O
肺 栓 塞 部 位 有 隐 痛	B I E B E O B E
现 在 凝 血 酶 时 间 7 9 医 生 建 议 减 药 把 达 比 加 全 脂 改 成 一 天 吃 一 粒 ？	B E B I E B E B E B E B E B E O B E O B E B E B E O O O O
之 前 吃 的 是 一 天 两 粒 ！	B E O O O B E O O O
想 问 问 可 以 嘛	O B E B E O
肺 血 栓 吃 法 华 林 2 颗 3 / 4 ， 前 天 刚 验 了 凝 血 值 2 . 1 3 ， 今 天 晚 上 脚 上 出 现 了 半 个 手 掌 红 印 子 ， 这 倒 底 是 怎 么 回 事 。	B I E B E B E O O B I E O B E O B E B I E B I I E O B E B E B E B E O B E B E B I E O O B E O B E B E O
肺 栓 塞 凝 血 功 能 差 ！	B I E B E B E O O
医 院 表 示 没 有 治 疗 方 案 ！	B E B E B E B E B E O
现 已 不 能 进 食 、 活 动 、 说 话	O O B E B I I I I I I E
胃 溃 疡 一 直 没 什 么 症 状 ， 也 没 治 疗 过 ， 突 然 呕 血 了 ， 是 严 重 了 吗 ？	B E O B E O B E B E O O O B E O O B E B E O O O B E O O O
要 是 治 疗 不 当 会 不 会 越 来 越 严 重 而 再 次 吐 血 ？	B E B E B E O B E B I E B E O B E B E O
2 0 1 7 年 4 月 份 咳 嗽 严 重 ， 普 通 抗 生 素 治 疗 ， 过 大 约 一 月 又 感 染 再 治 疗 、 做 气 管 镜 确 诊 为 结 核	B I I E O O B E B E B E O B E B I E B E O O B E B E O B E O B I I E B E O B E O B E
术 后 已 经 五 个 月 了 ， 下 一 步 还 继 续 吃 药 吗 ？	B E B E B E O O O O B E O B E B E O O
三 个 月 复 查 是 估 测 肺 动 脉 平 均 压 大 于 3 6 m m h g ， 收 缩 压 怎 么 没 有 ？	B E O B E O B E B I E B E O B E B E B I I E O B E O B E B E O
到 底 压 力 是 多 少 ？	B E B E O B E O
并 无 家 族 史	O O B E O
男 , 4 3 岁 。	O O B E O O
呼 吸 困 难 ， 咳 血 ， 踹 气 ， 检 查 肺 血 栓 ， 肺 出 血 ， 肺 积 水 ，	B E B E O B E O B E O B E O B E O O B E O O B E O
我 想 问 问 结 核 药 能 否 和 安 利 的 保 健 品 一 同 吃 ， 可 以 吗 ？	O O B E B E O B E O B E O B I E B E O O B E O O
有 没 有 负 作 用	O B E O B E
脐 周 围 疼 4 个 月 ， 用 药 l 个 月 ， 腹 泻 减 轻 ， 脐 周 还 疼 ， 肠 鸣 音 重 。	O B E O O O O O O O O O O O B E B E O B E O O O B E O O O
2 8 岁 ， 胃 病 史 有 1 0 年 ， 1 3 年 8 月 胃 镜 检 查 诊 断 为 十 二 指 肠 球 部 溃 疡 A 1 、 慢 性 浅 表 性 胃 炎 ， 加 检 螺 旋 杆 菌 感 染 为 阳 性 ，	B E O O B E O O B E O O B E O O O B E B E B E O B I I E B E B E B I I E O B E O B E O B I I I I E B E O B E O
用 用 药 前 胃 痛 较 反 复 ， 但 基 本 都 是 较 轻 ， 主 要 是 饿 的 时 候 感 觉 胃 隐 痛 ， 有 烧 热 感 ， 不 反 酸 ， 用 药 期 间 还 是 有 胃 痛 ， 主 要 是 早 餐 后 有 痉 挛 痛 的 感 觉 。	O B E O B E O B E O O B E O O B E O B E O O O B E B E O B E O O B I E O O B E O O O B E B E O B E O B E O B E O O B E O O B E O
其 他 不 良 反 应 没 有 。	B E B E B E B E O
医 生 说 前 两 周 抗 生 素 治 疗 ，	B E O O B E B I E B E O
后 四 周 抑 酸 、 胃 修 复 治 疗 。	O B E B I I I E O B E O
五 年 前 气 短 ！	B E O B E O
现 在 治 疗 后 有 所 好 转 ！	B E B E O B I I E O
前 几 天 去 阜 外 医 院 找 您 复 查	O B E O B E B E O O B E
治 疗 溃 疡 的 药 马 上 吃 满 6 周 的 疗 程 了 。	B E B E O O B E O O O O O B E O O
可 最 近 一 直 胃 口 又 一 直 不 好 ， 昨 天 晚 上 症 状 加 重 ， 今 天 没 吃 饭 ， 心 窝 下 有 很 强 的 灼 热 感 ，	O B E B E B E O B E B E O B E B E B E B E O B E O B E O B E O O B E O B E O O
并 感 觉 恶 心 想 吐 ，	O B E B E O O O
麻 烦 医 生 帮 我 看 下 是 什 么 病 情 ， 严 不 严 重 ， 如 何 能 治 好 ， 平 时 要 注 意 什 么	B E B E B E B E O B E B E O O B I E O B E O B E O B E O B E B E
晕 厥 胸 闷 气 短 ，	B E B E B E O
结 核 性 胸 膜 炎 胸 腔 积 液 治 疗 一 个 半 月 后 出 院 一 个 月 后 复 查 第 二 次 复 发 胸 腔 有 积 液	B E O B I E B E B E B E B I E O O B E B E O O B E B I E B E B E O B E
三 年 前 有 过 十 二 指 肠 球 糜 烂 ， 有 幽 门 螺 旋 杆 菌 ， 后 来 进 行 杀 菌 治 疗 ， 后 来 复 查 C 1 3 实 验 ， 幽 门 螺 旋 杆 菌 被 杀 灭 了 。	B E O B E B I I I E B E O O B I I I I E O B E B E O O B E O B E B E B I E B E O B I I I I E O B E O O
2 0 1 4 年 9 月 份 因 为 胃 有 点 胀 ，	B I I E O O B E B E O B E O O
复 查 了 胃 镜 ， 结 果 是 胃 角 散 在 糜 烂 点 ， 结 论 是 浅 表 性 胃 炎 伴 糜 烂 。	B E O B E O B E O B I E O B I E O B E O B E O B E O B E O
最 近 因 为 吃 了 桃 金 娘 油 药 后 出 现 胃 疼 ， 症 状 是 饭 前 胃 痛 ，	B E B E O O B I I E O O B E B E O B E O O O B E O
饭 后 缓 解 ， 饭 后 3 小 时 左 右 再 次 出 现 胃 痛 ， 凌 晨 5 点 左 右 胃 痛 ， 当 地 县 级 医 院 医 生 说 是 查 十 二 指 肠 球 溃 疡 ， 医 生 给 我 开 了 兰 索 拉 挫 和 马 来 酸 曲 美 布 汀 ，	O O B E O O O O B E B E B E B E B E O B E O O B E B E O B E B E B E B E O O O B I I I E B E O B E O O B E B I I E O B I I I I I E O
兰 索 用 量 是 每 天 两 次 每 次 2 粒 ， 用 量 比 说 明 书 用 量 大 ， 说 明 书 是 每 日 一 次 ， 每 次 1 - 2 粒 ， 而 且 要 用 药 5 周 ， 这 种 用 量 会 不 会 太 大 了 ，	B E B E O B E B E B E O O O B E O B I E B E O O B I E O B E B E O B E B I E O O B E O O O O O O B E B E B I E B E O O
用 药 是 否 合 理 啊 ？	B E B E B E O O
会 不 会 用 量 太 大 导 致 萎 缩 性 胃 炎 啊 ？	B I E B E B E B E B E O O O O O
谢 谢 指 导 下 用 药 。	B E B E O O O O
曾 经 治 疗 情 况 和 效 果 ：	B E B E B E O B I E
吃 了 上 述 用 药 5 天 时 间 ， 胃 痛 缓 解 ， 偶 尔 还 是 会 隐 隐 不 舒 服 。	O O B E B E O O B E O B E B E O B E B E O B E O B E O
我 今 年 6 0 岁 ， 多 年 大 便 频 繁 ， 每 天 四 五 次 ， 每 次 小 便 时 都 能 排 一 点 点 大 便 ， 吃 臊 子 面 和 辣 椒 时 会 拉 稀 ， 有 时 饭 里 有 一 点 辣 椒 也 会 拉 稀 ，	O B E B E O O B E B E B E O B E O O O O B E B E O O O O B I E B E O O B I E O B E O O B E O B E B E O B E B E O O B E O
而 且 每 次 排 便 都 很 急 ， 如 果 平 常 不 吃 臊 子 面 和 辣 椒 ， 也 就 是 平 常 排 便 ， 排 出 的 大 便 不 干 也 不 稀 ， 还 有 就 是 肚 子 从 来 没 有 疼 过 ，	B E B E B E O B E O B E B E O O B I E O B E O O O O B E B E O B E O B E B E O B E O B E O O B E B E B E O O O
也 没 有 难 受 过 。	O B E B E O O
前 段 时 间 去 医 院 做 了 电 子 结 肠 镜 ， 医 生 给 开 了 美 沙 拉 秦 肠 溶 片 、 谷 氨 酰 胺 胶 囊 、 蜡 样 芽 孢 杆 菌 活 菌 胶 囊 这 三 种 药 ， 让 先 吃 1 0 天 ，	B E B E O B E O O B I I E O O B E O O O B I I I E B I I I I I E B I I I I I I I I I E B E O B E O O O O O B E O O
看 有 无 效 果 。	O B E B E O
我 晚 上 睡 觉 打 咕 噜 ， 睡 觉 期 间 有 暂 停 呼 吸 的 现 象	O B E B E O B E O B E B E O B E B E O B E
3 月 份 检 查 心 肌 标 志 物 有 下 降 ， 8 月 2 5 号 复 查 又 上 升 ， 请 问 是 什 么 原 因 又 上 升 了 ？	O B E B E B E B I E O B E O O O B E O B E O B E O B E O B E B E O B E O O
这 次 去 看 医 生 说 3 月 份 查 的 心 肌 酶 基 本 正 常 所 以 这 次 没 有 检 查 心 肌 酶 . 铜 兰 蛋 白 有 所 上 升 还 有 关 系 吗 ？	B E O O B E O O B E O O B I E B E B E B E B E B E B E B I I E B I I E B I I E B E B E O O
问 下 医 生 我 这 个 要 怎 么 吃 ， 吃 多 大 剂 量 ， 餐 前 吃 还 是 餐 后 吃	B E B E O B E O B E O O O B E B E O O O O B E O O O
胸 憋 气 闷 不 能 下 地 走 路 每 天 吃 一 片 法 华 林 药 片	O B E O B E B E B E B E O B E B I E B E
1 6 年 9 月 发 现 得 了 空 洞 肺 结 核 ， 入 院 治 疗 一 个 月 ， 出 院 后 肝 损 ， 停 药 一 个 月 ， 后 持 续 吃 药 ， 3 个 月 一 次 胸 片 ， 恢 复 良 好 ，	B E O O O B E O O B E B I E O B E B E B E O O B E O B E O B E B E O O O B E B E O O O O B E B E O B E B E O
但 是 今 年 7 月 份 可 是 断 断 续 续 咳 血 ， 胸 片 中 还 有 一 个 小 空 洞 没 愈 合 ， 9 月 份 无 奈 住 院 治 疗 一 个 月 ， 治 疗 期 间 到 出 院 后 近 一 个 月 没 有 咳 血 ，	B E B E O B E B E B I I E B E O B E O B E B E O B E O B E O O B E B E B E B E B E O O B E B E O B E O O B E O B E B E O
昨 天 早 上 又 忽 然 咳 血 了 ， 胸 片 复 查 ， 仍 然 那 个 小 空 洞 没 有 愈 合	B E B E O B E B E O O B E B E O B E B E O B E B E B E
本 人 于 去 年 8 月 因 咳 嗽 一 月 检 查 出 肺 结 核 （ 左 下 肺 不 张 ） 、 支 气 管 结 核 、 结 核 性 胸 膜 炎 ， 当 时 一 线 四 联 均 敏 感 ， 开 始 两 三 月 吸 收 尚 可 ，	B E O B E O O O B E B E B E O B I I I I E O B I I I I I E B I I I E O B E O O B E B E B E O B E O B E B E O B E B E O
后 面 一 直 稳 定 。	B E B E B E O
当 时 医 生 说 稳 定 就 是 好 现 象 。	B E B E O B E O O O B E O
吃 药 一 年 一 个 月 时 医 生 考 虑 停 药 ， 停 药 前 做 了 一 次 纤 支 镜 检 查 ， 盥 洗 液 阴 ，	B E B E B I E O B E B E B E O B E O O O B E B E O B E O B E B E O
培 养 二 十 天 出 了 阳 。	B E B I E B E O O
随 即 做 药 敏 ， 发 现 一 线 药 全 耐 ， 二 线 药 敏 感 。	B E O B E O B E B I E O O O B I E B E O
最 后 一 次 纤 支 镜 检 查 后 突 发 高 烧 ， 肺 病 兆 增 多 ， 当 时 医 生 认 为 是 感 冒 引 起 肺 炎 ，	B E B E B E O B E O B E B E O B E O B E O B E B E B E O B E B E B E O
打 头 孢 半 月 后 明 显 好 转 。	O B E B E O B E B E O
二 十 天 后 复 查 C T 明 显 吸 收 。	B I E O B E B E B E B E O
但 因 灌 洗 液 培 养 阳 性 + 耐 药 ， 再 次 住 院 准 备 调 整 方 案 。	O O B E O B E B E O B E O B E B E B E B E B E O
请 问 医 生 有 没 有 更 好 的 建 议 ？	O O B E O B E B E O B E O
我 需 要 换 到 更 大 的 医 院 治 疗 吗 ？	O B E B E B E O B E B E O O
耐 药 结 核 治 愈 率 大 大 降 低 ，	B E B E B E O B E B E O
而 且 再 次 发 病 将 没 有 退 路 。	B E B E B E O B E B E O
所 以 非 常 珍 惜 这 次 治 疗 的 机 会 。	B E B E B E B E B E O B E O
因 为 片 子 交 医 院 了 ， 所 以 暂 时 无 法 提 供 片 子	B E B E O B I E O B E B E B E B E B E
要 马 上 住 院 吗 ？	O B E B E O O
要 不 要 手 术 ？	O B E B E O
是 良 性 还 是 恶 性 的 ， 能 不 能 判 断 ？	O B E B E B E O O O B E B E O
发 病 时 ， 迷 糊 ， 恶 心 ， 有 便 意 ， 大 量 出 汗 ， 眩 晕	B E O O B E O B E O O B E O B E B E O B E
一 年 半 前 检 查 有 胃 炎 ， 现 在 说 溃 烂 面 积 大 。	B I E O B E O O O O B E O B E B E O O
。	O
。	O
。	O
